,student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,profile_json,addr_city,addr_district,addr_postal,parsed_json,hobbies,skills.tech.python,skills.tech.excel,skills.tech.sql,skills.soft,family.siblings,family.income.father,family.income.mother,device1_type,device1_brand,device1_year,device2_type,device2_brand,device2_year
10,11,Shawn Baker,19,Unknown,,+1-986-850-9629,Zhangstad,,2025-06-10 00:00:00,Data science,,active,3.7,excellent,183.0,2001-06-06 05:29:47,"Apartment 34, North Samantha district, Tashkent, UZ, 100659",,Tashkent, North Samantha,100659,,,,,,,,,,,,,,,
11,12,,18,Female,71.0,,Austinside,annalee@gmail.com,2013-01-14 19:16:00,Data science,,inactive,,average,208.0,2003-05-27 00:00:00,"Apartment 13, Morrismouth district, Tashkent, UZ, 100315","{""hobbies"":[""forward"", ""like""]}",Tashkent, Morrismouth,100315,"{'hobbies': ['forward', 'like']}","forward,like",,,,,,,,,,,,,
12,13,,19,Female,90.0,+1-223-573-6311,Lesliefurt,,2014-12-24 00:00:00,Data science,,inactive,4.5,excellent,84.0,2010-11-21 00:00:00,"Frankchester 9-kv, dom 20, Tashkent",,Tashkent,,,,,,,,,,,,,,,,,
13,14,Thomas Prince,20,Unknown,,,East Michellestad,aphillips@hollanddiaz.org,2012-02-09 00:00:00,Python,,inactive,,excellent,210.0,2013-05-14 00:00:00,UZ 100394 Tashkent Stevensborough,"{""hobbies"":[""understand"", ""become""]}",Tashkent,,100394,"{'hobbies': ['understand', 'become']}","understand,become",,,,,,,,,,,,,
14,15,,21,Male,73.0,,Michellebury,kevin65@maxwell.info,1971-03-17 08:30:18,Python,,pending,3.7,good,191.0,1984-10-29 14:14:47,"Davidborough 9-kv, dom 29, Tashkent",,Tashkent,,,,,,,,,,,,,,,,,
15,16,Adrian Allen,20,Female,,,Antoniobury,,1999-08-29 00:00:00,Python,,pending,3.7,excellent,53.0,1983-10-13 00:00:00,"1965 Jacobs Branch Apt. 418, Timburgh","{""hobbies"": [""partner"", ""race""], ""skills"": {""tech"": {""python"": 4, ""excel"": 4, ""sql"": 4}, ""soft"": [""onto"", ""owner""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 798, ""mother"": 626}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2019}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2022}]}",,,,"{'hobbies': ['partner', 'race'], 'skills': {'tech': {'python': 4, 'excel': 4, 'sql': 4}, 'soft': ['onto', 'owner']}, 'family': {'siblings': 3, 'income': {'father': 798, 'mother': 626}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}","partner,race",4.0,4.0,4.0,"onto,owner",3.0,798.0,626.0,laptop,Dell,2019.0,phone,Apple,2022.0
16,17,Stephen Lyons,19,Unknown,76.0,,New Adam,,2009-10-13 02:20:00,Data science,,active,4.5,good,110.0,1984-12-04 09:17:45,UZ 100399 Tashkent Joehaven,"{""hobbies"": [""nothing"", ""community""], ""skills"": {""tech"": {""python"": 1, ""excel"": 1, ""sql"": 5}, ""soft"": [""wear"", ""will""]}, ""family"": {""siblings"": 1, ""income"": {""father"": 772, ""mother"": 498}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}",Tashkent,,100399,"{'hobbies': ['nothing', 'community'], 'skills': {'tech': {'python': 1, 'excel': 1, 'sql': 5}, 'soft': ['wear', 'will']}, 'family': {'siblings': 1, 'income': {'father': 772, 'mother': 498}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]}","nothing,community",1.0,1.0,5.0,"wear,will",1.0,772.0,498.0,laptop,Lenovo,2023.0,phone,Apple,2021.0
17,18,Zachary Lyons,18,Male,68.0,+1-242-552-5722,Chenport,,2003-09-25 00:00:00,Data_sciense,,inactive,4.5,average,138.0,1997-08-27 00:00:00,"Apartment 22, Port Kevin district, Tashkent, UZ, 100106",,Tashkent, Port Kevin,100106,,,,,,,,,,,,,,,
18,19,,20,Female,50.0,+1-179-099-6883,West Danaville,,1974-02-20 00:00:00,Data_sciense,,active,3.05,excellent,66.0,1976-05-07 00:00:00,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,,,,,
19,20,Anthony Hardy,20,Male,90.0,+1-669-272-8730,Kimport,,1973-05-20 19:05:00,Data science,65.0,pending,4.5,excellent,218.0,2021-07-23 07:23:13,"Masontown 10-kv, dom 21, Tashkent","{""hobbies"": [""certainly"", ""defense""], ""skills"": {""tech"": {""python"": 5, ""excel"": 2, ""sql"": 4}, ""soft"": [""medical"", ""quality""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 1220, ""mother"": 1220}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2018}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2019}]}",Tashkent,,,"{'hobbies': ['certainly', 'defense'], 'skills': {'tech': {'python': 5, 'excel': 2, 'sql': 4}, 'soft': ['medical', 'quality']}, 'family': {'siblings': 4, 'income': {'father': 1220, 'mother': 1220}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2018}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}","certainly,defense",5.0,2.0,4.0,"medical,quality",4.0,1220.0,1220.0,laptop,Lenovo,2018.0,phone,Apple,2019.0
20,21,Hector Beltran,20,Male,52.0,,North Harry,preid@hotmail.com,2010-02-02 00:00:00,Data science,,active,,good,153.0,1983-03-31 17:15:15,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,,,,,
21,22,Tara Nguyen,22,Unknown,73.0,+1-038-874-2999,Brittanychester,rrodriguez@newman.com,2000-06-04 17:46:54,Python,78.0,inactive,4.5,excellent,174.0,2020-11-26 00:00:00,UZ 100063 Tashkent Lake Shaneland,"{""hobbies"": [""create"", ""accept""], ""skills"": {""tech"": {""python"": 1, ""excel"": 3, ""sql"": 1}, ""soft"": [""new"", ""manager""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 1140, ""mother"": 1117}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2016}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2018}]}",Tashkent,,100063,"{'hobbies': ['create', 'accept'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 1}, 'soft': ['new', 'manager']}, 'family': {'siblings': 3, 'income': {'father': 1140, 'mother': 1117}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2018}]}","create,accept",1.0,3.0,1.0,"new,manager",3.0,1140.0,1117.0,laptop,Dell,2016.0,phone,Xiaomi,2018.0
22,23,Jessica Robinson,22,Male,90.0,+1-169-715-0937,Jonesfurt,,2010-05-10 12:48:00,Data science,81.0,inactive,3.7,good,261.0,2005-06-09 00:00:00,"0451 James Cliffs Suite 725, Wagnermouth","{""hobbies"":[""type"", ""beautiful""]}",,,,"{'hobbies': ['type', 'beautiful']}","type,beautiful",,,,,,,,,,,,,
23,24,Latoya Williams,18,Male,60.0,,North Ashleyborough,,2021-08-06 11:33:00,Data science,,pending,3.7,excellent,148.0,2021-11-12 15:59:30,"0258 Sean Keys Apt. 380, Kevinfort","{""hobbies"": [""step"", ""section""], ""skills"": {""tech"": {""python"": 1, ""excel"": 5, ""sql"": 3}, ""soft"": [""beat"", ""popular""]}, ""family"": {""siblings"": 0, ""income"": {""father"": 1376, ""mother"": 871}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2022}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2019}]}",,,,"{'hobbies': ['step', 'section'], 'skills': {'tech': {'python': 1, 'excel': 5, 'sql': 3}, 'soft': ['beat', 'popular']}, 'family': {'siblings': 0, 'income': {'father': 1376, 'mother': 871}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]}","step,section",1.0,5.0,3.0,"beat,popular",0.0,1376.0,871.0,laptop,Dell,2022.0,phone,Xiaomi,2019.0
24,25,,21,Unknown,90.0,,Donnaview,urodriguez@ferrell.com,2025-03-08 00:00:00,Data science,,pending,,excellent,135.0,2000-07-16 13:07:00,"06462 Buck Springs Apt. 169, North Lisa","{""hobbies"": [""phone"", ""consider""], ""skills"": {""tech"": {""python"": 1, ""excel"": 3, ""sql"": 2}, ""soft"": [""must"", ""around""]}, ""family"": {""siblings"": 0, ""income"": {""father"": 1453, ""mother"": 206}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2019}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2020}]}",,,,"{'hobbies': ['phone', 'consider'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 2}, 'soft': ['must', 'around']}, 'family': {'siblings': 0, 'income': {'father': 1453, 'mother': 206}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2019}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2020}]}","phone,consider",1.0,3.0,2.0,"must,around",0.0,1453.0,206.0,laptop,Lenovo,2019.0,phone,Xiaomi,2020.0
25,26,,21,Female,90.0,,Harrisbury,,2022-07-18 17:43:00,Data science,96.0,pending,,good,299.0,2001-02-12 00:00:00,"Apartment 20, Lake Crystal district, Tashkent, UZ, 100119","{""hobbies"": [""tough"", ""role""], ""skills"": {""tech"": {""python"": 3, ""excel"": 1, ""sql"": 2}, ""soft"": [""south"", ""his""]}, ""family"": {""siblings"": 1, ""income"": {""father"": 623, ""mother"": 577}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2022}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2019}]}",Tashkent, Lake Crystal,100119,"{'hobbies': ['tough', 'role'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 2}, 'soft': ['south', 'his']}, 'family': {'siblings': 1, 'income': {'father': 623, 'mother': 577}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}","tough,role",3.0,1.0,2.0,"south,his",1.0,623.0,577.0,laptop,Dell,2022.0,phone,Apple,2019.0
26,27,Emily Cummings,22,Female,59.0,,East Dariuston,,2023-04-28 18:06:01,Python,,inactive,1.18,average,245.0,2000-12-24 00:42:00,"Apartment 27, South David district, Tashkent, UZ, 100696","{""hobbies"": [""billion"", ""feeling""], ""skills"": {""tech"": {""python"": 3, ""excel"": 1, ""sql"": 3}, ""soft"": [""thought"", ""particularly""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 303, ""mother"": 1245}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2023}]}",Tashkent, South David,100696,"{'hobbies': ['billion', 'feeling'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 3}, 'soft': ['thought', 'particularly']}, 'family': {'siblings': 4, 'income': {'father': 303, 'mother': 1245}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Samsung', 'year': 2023}]}","billion,feeling",3.0,1.0,3.0,"thought,particularly",4.0,303.0,1245.0,laptop,Lenovo,2023.0,phone,Samsung,2023.0
27,28,Brandy Powell,20,Unknown,87.0,+1-404-233-0292,Oconnellburgh,benjamincollins@davis.info,2000-07-27 00:00:00,Python,,inactive,,excellent,285.0,2014-07-31 11:40:00,"BROKEN,ADDRESS,DATA,,,","{""hobbies"": [""energy"", ""however""], ""skills"": {""tech"": {""python"": 2, ""excel"": 1, ""sql"": 3}, ""soft"": [""either"", ""plan""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 1105, ""mother"": 1106}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2022}]}",,,,"{'hobbies': ['energy', 'however'], 'skills': {'tech': {'python': 2, 'excel': 1, 'sql': 3}, 'soft': ['either', 'plan']}, 'family': {'siblings': 4, 'income': {'father': 1105, 'mother': 1106}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Samsung', 'year': 2022}]}","energy,however",2.0,1.0,3.0,"either,plan",4.0,1105.0,1106.0,laptop,Lenovo,2023.0,phone,Samsung,2022.0
28,29,,21,Male,88.0,+1-521-168-1029,West Rachel,elizabeth49@yahoo.com,2014-09-19 00:00:00,Data science,,inactive,,,295.0,1992-05-20 00:00:00,"241 Sarah Spring, Bridgetton",,,,,,,,,,,,,,,,,,,
29,30,Jaime Rowe,0,Female,69.0,+1-046-892-9598,Shepardmouth,eolson@carr.net,1972-01-29 01:01:06,Data science,64.0,pending,3.7,average,294.0,2022-04-24 08:54:19,"Port Robertstad 16-kv, dom 50, Tashkent","{""hobbies"": [""woman"", ""wear""], ""skills"": {""tech"": {""python"": 4, ""excel"": 5, ""sql"": 3}, ""soft"": [""reduce"", ""than""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 1291, ""mother"": 913}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2024}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2019}]}",Tashkent,,,"{'hobbies': ['woman', 'wear'], 'skills': {'tech': {'python': 4, 'excel': 5, 'sql': 3}, 'soft': ['reduce', 'than']}, 'family': {'siblings': 4, 'income': {'father': 1291, 'mother': 913}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2024}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]}","woman,wear",4.0,5.0,3.0,"reduce,than",4.0,1291.0,913.0,laptop,Lenovo,2024.0,phone,Xiaomi,2019.0
30,31,Brianna Castro,21,Unknown,90.0,,East Regina,ali@gmail.com,2007-10-13 09:29:00,Data science,,pending,,average,63.0,1970-09-12 00:00:00,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,,,,,
31,32,April Johnson,20,Male,90.0,+1-054-829-3587,Andersontown,daniel21@hotmail.com,2021-11-27 01:13:12,Python,,active,,good,289.0,2022-04-21 06:18:32,"Apartment 42, Christineburgh district, Tashkent, UZ, 100686","{""hobbies"": [""material"", ""relate""], ""skills"": {""tech"": {""python"": 5, ""excel"": 3, ""sql"": 3}, ""soft"": [""against"", ""history""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 1124, ""mother"": 1323}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2018}]}",Tashkent, Christineburgh,100686,"{'hobbies': ['material', 'relate'], 'skills': {'tech': {'python': 5, 'excel': 3, 'sql': 3}, 'soft': ['against', 'history']}, 'family': {'siblings': 4, 'income': {'father': 1124, 'mother': 1323}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2018}]}","material,relate",5.0,3.0,3.0,"against,history",4.0,1124.0,1323.0,laptop,Dell,2023.0,phone,Apple,2018.0
32,33,Joyce Franklin,20,Female,60.0,+1-618-090-5816,South Brittany,,2000-06-29 21:16:26,Data science,66.0,inactive,,excellent,57.0,1982-05-31 00:00:00,"New Antonio 12-kv, dom 41, Tashkent","{""hobbies"": [""run"", ""case""], ""skills"": {""tech"": {""python"": 4, ""excel"": 2, ""sql"": 3}, ""soft"": [""rock"", ""never""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 1009, ""mother"": 1369}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2022}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2020}]}",Tashkent,,,"{'hobbies': ['run', 'case'], 'skills': {'tech': {'python': 4, 'excel': 2, 'sql': 3}, 'soft': ['rock', 'never']}, 'family': {'siblings': 4, 'income': {'father': 1009, 'mother': 1369}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2020}]}","run,case",4.0,2.0,3.0,"rock,never",4.0,1009.0,1369.0,laptop,Dell,2022.0,phone,Xiaomi,2020.0
33,34,,20,Female,,,Hillmouth,ali@gmail.com,1983-05-24 00:00:00,Data_sciense,67.0,active,3.7,excellent,172.0,1975-06-08 00:00:00,UZ 100883 Tashkent West Michaelport,"{""hobbies"": [""decide"", ""least""], ""skills"": {""tech"": {""python"": 5, ""excel"": 5, ""sql"": 2}, ""soft"": [""mouth"", ""laugh""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 763, ""mother"": 1393}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2019}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2020}]}",Tashkent,,100883,"{'hobbies': ['decide', 'least'], 'skills': {'tech': {'python': 5, 'excel': 5, 'sql': 2}, 'soft': ['mouth', 'laugh']}, 'family': {'siblings': 4, 'income': {'father': 763, 'mother': 1393}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2019}, {'type': 'phone', 'brand': 'Samsung', 'year': 2020}]}","decide,least",5.0,5.0,2.0,"mouth,laugh",4.0,763.0,1393.0,laptop,HP,2019.0,phone,Samsung,2020.0
34,35,,22,Female,,+1-356-552-3035,North Maryfort,,2008-01-25 20:03:00,Data science,,pending,,,136.0,1998-08-30 02:53:00,UZ 100652 Tashkent Lake Donaldton,,Tashkent,,100652,,,,,,,,,,,,,,,
